Generator,Resource,Time,Size,Variables,Generated Energy annealer,Status annealer,Cost annealer,QPU access time [s],QPU charge time [s],QPU run time [s],Generated Energy classical,Generator status classical,Classical cost,Classical execution time [s],Iteration
11,natural_gas_fired_combustion_turbine,5,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,6,240,480,34.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,7,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,8,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
11,natural_gas_fired_combustion_turbine,9,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,0,240,480,540.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,1,240,480,607.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,10,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,11,240,480,311.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,12,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,220.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,13,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,280.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,14,240,480,418.0,1.0,714716.2874000008,0.016028,5.0,5.001085,481.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,15,240,480,292.0,1.0,714716.2874000008,0.016028,5.0,5.001085,559.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,16,240,480,559.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,17,240,480,495.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,18,240,480,536.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,19,240,480,498.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,2,240,480,585.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,20,240,480,373.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,21,240,480,507.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,22,240,480,401.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,23,240,480,307.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,3,240,480,419.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,4,240,480,414.0,1.0,714716.2874000008,0.016028,5.0,5.001085,607.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,5,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,606.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,6,240,480,316.0,1.0,714716.2874000008,0.016028,5.0,5.001085,359.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,7,240,480,323.0,1.0,714716.2874000008,0.016028,5.0,5.001085,220.0,1.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,8,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
2,natural_gas_fired_combined_cycle,9,240,480,0.0,0.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,0,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,23.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,1,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,10,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,11,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,12,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,13,240,480,30.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,14,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,15,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,16,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,0.0,0.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,17,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,18,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
3,natural_gas_fired_combined_cycle,19,240,480,17.0,1.0,714716.2874000008,0.016028,5.0,5.001085,30.0,1.0,609551.1779999998,0.21164578400021128,0
