Generators,Resources,Periods,Problem size,Number of variables,Generated energy annealer,Commitment annealer,Start-up annealer,Shut-down annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time,Generated energy classical,Commitment classical,Start-up classical,Shut classical,Operational cost classical,CPU time
10,natural_gas_fired_combustion_turbine,7,480,1776,31.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,8,480,1776,22.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,9,480,1776,39.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,0,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,1.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,1,480,1776,34.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,10,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,11,480,1776,34.0,1.0,1.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,12,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,13,480,1776,0.0,0.0,0.0,1.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
11,natural_gas_fired_combustion_turbine,14,480,1776,0.0,0.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,34.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
