Generators,Resources,Periods,Problem size,Generated energy variable classical,Commitment variable classical,Start variable classical,Shut variable classical,Operational cost classical,CPU time
3,natural_gas_fired_combined_cycle,0,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,1,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,2,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,3,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,4,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,5,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,6,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,7,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,8,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,9,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,10,480,24.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,11,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,12,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,13,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,14,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,15,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,16,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,17,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,18,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,19,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,20,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,21,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,22,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
3,natural_gas_fired_combined_cycle,23,480,30.0,1.0,,,1376229.4403000025,0.2624517830008699
4,natural_gas_fired_combined_cycle,0,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
4,natural_gas_fired_combined_cycle,1,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
4,natural_gas_fired_combined_cycle,2,480,49.0,1.0,,,1376229.4403000025,0.2624517830008699
